#{"t_start": 1757786018.3683665, "env_id": null}
r,l,t
-7.5,40,10.07252
-7.5,40,12.66551
-7.5,40,15.060011
-7.0,40,17.550569
-7.5,40,20.018345
-7.0,40,22.323584
-7.0,40,24.725754
-7.0,40,27.042374
-7.5,40,29.204914
-7.5,40,31.547781
-7.5,40,33.957202
-7.5,40,36.357594
-7.0,40,38.62803
-7.5,40,41.148921
-7.5,40,43.611081
-7.5,40,45.882761
-7.5,40,48.234606
-7.5,40,50.694604
-5.5,40,53.031232
-7.5,40,55.469513
-7.0,40,57.856969
-7.5,40,60.238957
-7.0,40,62.598714
-7.5,40,64.922939
-7.5,40,67.195376
-7.5,40,99.57728
-7.5,40,101.817782
-7.0,40,104.124118
-7.5,40,106.434774
-7.0,40,108.805257
-7.5,40,111.160474
-7.0,40,113.572273
-7.5,40,115.939644
-7.0,40,118.191375
-7.0,40,120.575386
-7.0,40,122.795769
-7.5,40,125.07868
-7.5,40,127.253186
-7.0,40,129.646194
-7.0,40,131.948615
-7.5,40,134.379734
-7.5,40,136.788214
-7.5,40,139.303974
-7.5,40,141.705702
-7.0,40,144.053048
-7.5,40,146.338596
-7.0,40,148.566705
-7.5,40,150.965965
-7.0,40,153.272593
-7.5,40,155.679714
-7.0,40,192.996198
-7.5,40,195.244265
-7.5,40,197.548015
-7.5,40,199.856637
-7.0,40,202.063905
-7.5,40,204.389291
-7.0,40,206.647656
-7.5,40,208.991611
-7.5,40,211.304698
-7.0,40,213.687158
-7.5,40,215.985779
-7.5,40,218.442014
-7.5,40,220.740111
-7.0,40,223.048577
-7.0,40,225.336693
-7.0,40,227.647003
-7.5,40,230.020476
-7.0,40,232.45713
-7.0,40,234.901971
-7.0,40,237.189135
-7.0,40,239.488853
-7.0,40,241.823631
-7.5,40,244.129714
-7.5,40,246.545637
-7.5,40,248.910489
-7.5,40,286.493414
-7.5,40,288.821207
-7.5,40,291.232496
-7.5,40,293.625601
-7.0,40,296.058254
-7.5,40,298.352259
-6.5,40,300.553127
-7.5,40,302.891052
-7.5,40,305.27022
-7.5,40,307.624014
-7.5,40,310.118486
-7.0,40,312.35512
-7.5,40,314.684496
-7.5,40,316.940943
-7.5,40,319.28356
-7.0,40,321.629668
-7.0,40,324.040731
-7.5,40,326.459962
-7.5,40,328.782896
-7.0,40,331.233004
-7.5,40,333.601998
-7.0,40,336.021927
-7.0,40,338.396092
-7.5,40,340.800647
-7.5,40,342.949474
-7.5,40,374.354434
-7.5,40,376.528915
-7.5,40,378.8305
-7.0,40,381.137871
-7.5,40,383.664735
-7.5,40,386.0046
-7.5,40,388.534624
-7.5,40,390.853797
-7.0,40,393.344729
-7.5,40,395.774045
-7.5,40,398.303043
-7.5,40,400.765977
-7.5,40,403.156534
-7.5,40,405.575367
-7.5,40,407.972799
-7.5,40,410.371964
-7.5,40,412.821075
-7.5,40,415.274643
-7.0,40,417.739253
-7.5,40,420.078126
-7.5,40,422.533291
-7.5,40,424.845596
-7.5,40,427.397524
-7.0,40,429.704456
-7.5,40,432.265932
-7.0,40,477.670174
-7.5,40,480.03242
-7.5,40,482.394738
-7.0,40,484.605464
-7.0,40,487.000086
-7.5,40,489.181512
-7.5,40,491.710244
-7.0,40,494.099741
-7.0,40,496.655798
-7.5,40,498.950826
-7.0,40,501.156048
-7.5,40,503.464045
-7.5,40,505.932553
-6.5,40,508.161
-7.0,40,510.60157
-7.0,40,512.770825
-7.5,40,515.133212
-7.5,40,517.256119
-7.5,40,519.867603
-7.5,40,522.313454
-7.5,40,524.658848
-7.0,40,527.011094
-7.5,40,529.308146
-7.5,40,531.506737
-7.5,40,533.894577
-7.0,40,570.096503
-7.0,40,572.333103
-7.5,40,574.62216
-7.0,40,576.911347
-7.5,40,579.531658
-7.5,40,581.908999
-7.0,40,584.338119
-7.0,40,586.712086
-7.5,40,589.186438
-7.5,40,591.58214
-7.5,40,594.111813
-7.5,40,596.562303
-7.5,40,599.155952
-7.0,40,601.455599
-7.0,40,603.989163
-7.0,40,606.323459
-7.5,40,608.852778
-7.5,40,611.146086
-7.0,40,613.395454
-7.0,40,615.85646
-7.5,40,618.435987
-7.5,40,620.770359
-7.5,40,623.390194
-5.5,40,625.742225
-7.5,40,628.20641
-7.5,40,664.505618
-7.0,40,666.82884
-7.5,40,669.19053
-7.5,40,671.632954
-7.5,40,673.998929
-7.5,40,676.411589
-7.5,40,678.875635
-7.5,40,681.486263
-7.5,40,683.953391
-7.0,40,686.418923
-7.0,40,688.988711
-7.5,40,691.399961
-7.5,40,693.854741
-7.0,40,696.273001
-7.5,40,698.558667
-7.5,40,701.054957
-7.5,40,703.562554
-7.5,40,706.056097
-7.5,40,708.479121
-7.5,40,711.0365
-7.5,40,713.356579
-7.5,40,715.865124
-7.5,40,718.300648
-7.5,40,720.717172
-7.0,40,723.264952
-7.5,40,754.423749
-7.5,40,756.899622
-7.5,40,759.407845
-7.5,40,761.728558
-7.5,40,764.142806
-7.5,40,766.458587
-7.5,40,768.944706
-7.0,40,771.420184
-7.5,40,773.947374
-7.0,40,776.28802
-7.0,40,778.581444
-6.5,40,781.164346
-7.0,40,783.583008
-7.0,40,786.054926
-7.5,40,788.359267
-7.0,40,790.751106
-7.5,40,793.191146
-6.5,40,795.506184
-7.5,40,798.04674
-7.0,40,800.309247
-7.0,40,802.735992
-7.5,40,805.254149
-7.5,40,807.612694
-7.5,40,809.906034
-7.5,40,812.394518
-7.5,40,857.740536
-6.5,40,860.036744
-7.0,40,862.443894
-7.5,40,864.878756
-7.5,40,867.289801
-6.5,40,869.621927
-7.5,40,871.978307
-7.5,40,874.270732
-7.5,40,876.551856
-7.5,40,879.003246
-7.5,40,881.332544
-7.0,40,883.724044
-7.0,40,886.192317
-7.5,40,888.539347
-7.5,40,890.831446
-7.0,40,893.25573
-7.5,40,895.532556
-7.5,40,897.87396
-7.0,40,900.21674
-7.5,40,902.5199
-7.5,40,905.012634
-7.0,40,907.208409
-7.5,40,909.616813
-7.5,40,911.919866
-7.0,40,914.27845
-7.5,40,950.913323
-7.5,40,953.26269
-7.5,40,955.530634
-7.5,40,958.00461
-7.5,40,960.261037
-7.0,40,962.631273
-7.5,40,964.860801
-7.0,40,967.164191
-7.5,40,969.530497
-7.5,40,971.82334
-7.5,40,974.262307
-7.0,40,976.522006
-7.5,40,978.840292
-7.0,40,981.180448
-7.5,40,983.549066
-7.5,40,985.89189
-7.5,40,988.26508
-7.5,40,990.510617
-7.0,40,992.838667
-7.5,40,995.188351
-7.5,40,997.515316
-7.5,40,999.915152
-7.0,40,1002.176772
-7.0,40,1004.535237
-7.5,40,1006.881073
-7.5,40,1037.706067
-7.5,40,1040.082711
-7.5,40,1042.461575
-7.5,40,1044.807353
-7.5,40,1047.041027
-6.5,40,1049.440936
-7.5,40,1051.735963
-7.5,40,1053.972647
-7.5,40,1056.460516
-7.5,40,1058.823301
-7.0,40,1061.239004
-7.5,40,1063.447567
-7.5,40,1065.902915
-7.5,40,1068.318231
-7.5,40,1070.664114
-7.5,40,1073.003047
-7.5,40,1075.342506
-7.0,40,1077.745203
-7.5,40,1080.094095
-7.5,40,1082.386518
-7.5,40,1084.65411
-7.5,40,1087.133998
-7.5,40,1089.408501
-7.0,40,1091.726875
-7.5,40,1094.155901
-7.5,40,1130.336853
-7.5,40,1132.621212
-7.5,40,1134.933502
-7.0,40,1137.229495
-7.5,40,1139.430556
-7.5,40,1141.648338
-7.5,40,1144.049314
-7.5,40,1146.389743
-7.5,40,1148.657217
-7.0,40,1151.068604
-7.0,40,1153.279427
-7.5,40,1155.710028
-7.5,40,1157.99598
-7.0,40,1160.354511
-7.5,40,1162.653058
-7.5,40,1165.012984
-7.5,40,1167.322653
-7.5,40,1169.70308
-7.5,40,1171.93922
-7.0,40,1174.247051
-7.5,40,1176.548594
-7.5,40,1178.815622
-7.5,40,1181.110411
-7.5,40,1183.497203
-7.5,40,1185.697323
-7.5,40,1222.768306
-7.5,40,1225.12045
-7.5,40,1227.401752
-7.0,40,1229.777342
-7.5,40,1232.06594
-7.5,40,1234.482683
-7.0,40,1236.788753
-7.0,40,1238.995088
-7.5,40,1241.348752
-7.5,40,1243.718891
-7.5,40,1245.973887
-7.5,40,1248.273412
-7.5,40,1250.559392
-7.0,40,1252.844386
-7.5,40,1255.197131
-7.5,40,1257.551859
-7.0,40,1259.856653
-7.5,40,1262.188669
-7.5,40,1264.535438
-7.5,40,1266.910799
-7.0,40,1269.217898
-7.5,40,1271.537273
-7.0,40,1273.931282
-7.5,40,1276.352678
-7.5,40,1278.67002
-7.5,40,1314.902169
-7.0,40,1317.248378
-7.5,40,1319.652393
-7.5,40,1321.937987
-7.5,40,1324.369484
-7.5,40,1326.688268
-7.5,40,1328.966722
-7.5,40,1331.281174
-7.0,40,1333.675742
-7.5,40,1335.959201
-7.5,40,1338.293561
-7.5,40,1340.674499
-7.5,40,1343.014904
-7.5,40,1345.349806
-7.0,40,1347.633279
-7.0,40,1349.973055
-7.5,40,1352.388291
-7.5,40,1354.690168
-7.5,40,1357.038046
-7.5,40,1359.30259
-7.0,40,1361.577171
-7.5,40,1363.847448
-7.0,40,1366.21821
-7.5,40,1368.647075
-7.5,40,1371.026127
-7.5,40,1402.91935
-7.0,40,1405.263465
-7.0,40,1407.553736
-7.5,40,1409.904954
-7.5,40,1412.225228
-7.5,40,1414.613963
-7.5,40,1417.028403
-7.5,40,1419.426249
-7.0,40,1421.71507
-7.0,40,1424.027909
-7.0,40,1426.604188
-7.5,40,1429.186572
-7.0,40,1431.463366
-7.0,40,1433.838828
-7.5,40,1436.243466
-7.5,40,1438.477806
-7.5,40,1440.802861
-7.0,40,1443.244177
-7.5,40,1445.644399
-7.0,40,1448.053991
-7.0,40,1450.488413
-7.0,40,1452.855456
-7.5,40,1455.239096
-7.5,40,1457.537796
-7.0,40,1459.928195
-7.5,40,1498.160341
-7.5,40,1500.525429
-6.5,40,1502.872237
-6.5,40,1505.185582
-7.0,40,1507.612114
-7.0,40,1510.109451
-7.0,40,1512.619819
-7.0,40,1515.030971
-6.5,40,1517.439093
-7.0,40,1519.766333
-7.5,40,1522.144162
-7.5,40,1524.70085
-7.5,40,1527.02097
-7.0,40,1529.46637
-7.5,40,1531.98993
-7.5,40,1534.483615
-7.0,40,1536.853355
-7.5,40,1539.24866
-7.5,40,1541.700783
-7.0,40,1544.075415
-7.5,40,1546.39913
-7.0,40,1548.658478
-7.5,40,1551.016634
-7.0,40,1553.353858
-7.0,40,1555.706703
-7.5,40,1592.322127
-7.5,40,1594.619611
-7.5,40,1596.890929
-7.5,40,1599.351023
-7.5,40,1601.656725
-7.0,40,1604.160459
-7.0,40,1606.549945
-7.0,40,1608.901063
-7.5,40,1611.320864
-6.5,40,1613.768916
-7.0,40,1616.120599
-7.0,40,1618.515058
-7.5,40,1620.821871
-7.5,40,1623.272356
-7.5,40,1625.659449
-7.5,40,1628.145544
-7.0,40,1630.634768
-7.5,40,1633.080039
-7.5,40,1635.431517
-7.0,40,1637.732336
-7.5,40,1640.046563
-7.0,40,1642.561934
-7.5,40,1644.94814
-7.0,40,1647.196473
-6.5,40,1649.584575
-7.0,40,1681.397461
-6.5,40,1683.835275
-7.0,40,1686.153152
-7.5,40,1688.37077
-7.5,40,1690.70028
-7.0,40,1693.181401
-7.0,40,1695.584414
-7.0,40,1697.899265
-7.5,40,1700.287533
-7.0,40,1702.612068
-7.0,40,1704.997997
-7.0,40,1707.382882
-7.0,40,1709.647857
-7.0,40,1711.994854
-7.0,40,1714.332461
-7.0,40,1716.671084
-6.5,40,1719.086333
-7.5,40,1721.506949
-7.5,40,1723.799023
-7.0,40,1726.248875
-6.5,40,1728.582005
-7.0,40,1731.041964
-7.5,40,1733.513308
-7.5,40,1735.941407
-7.0,40,1738.356903
-7.5,40,1775.214767
-7.5,40,1777.656181
-6.5,40,1780.138749
-7.5,40,1782.428916
-7.0,40,1784.996024
-7.5,40,1787.476662
-7.0,40,1789.833122
-7.0,40,1792.192192
-7.0,40,1794.456586
-7.0,40,1796.857383
-7.5,40,1799.24374
-7.0,40,1801.608569
-7.0,40,1803.908088
-7.0,40,1806.337114
-7.0,40,1808.647034
-7.0,40,1811.129459
-6.5,40,1813.339944
-7.0,40,1815.84715
-7.0,40,1818.33267
-7.0,40,1820.835493
-7.5,40,1823.172909
-6.5,40,1825.754618
-7.5,40,1828.047508
-7.0,40,1830.528208
-7.5,40,1832.843333
-7.0,40,1869.666649
-6.5,40,1872.144359
-7.0,40,1874.514113
-7.0,40,1877.028478
-7.0,40,1879.361987
-7.0,40,1881.921314
-7.5,40,1884.307449
-7.0,40,1886.795369
-7.0,40,1889.267388
-7.0,40,1891.685695
-7.0,40,1894.188623
-7.5,40,1896.529621
-7.0,40,1898.975761
-7.0,40,1901.463047
-7.0,40,1903.856467
-7.5,40,1906.351331
-7.5,40,1908.7128
-7.0,40,1911.263027
-6.5,40,1913.773081
-7.5,40,1916.322626
-7.0,40,1918.713547
-6.5,40,1921.132023
-7.0,40,1923.409763
-7.0,40,1925.816534
-7.0,40,1928.230024
-6.5,40,1964.525359
-6.5,40,1966.964607
-6.5,40,1969.473141
-7.0,40,1972.008785
-7.5,40,1974.400964
-7.0,40,1976.856762
-7.0,40,1979.281499
-6.5,40,1981.715992
-7.0,40,1984.077425
-6.5,40,1986.402495
-7.0,40,1989.037631
-7.0,40,1991.628596
-7.0,40,1994.010527
-6.5,40,1996.507108
-7.0,40,1998.957412
-6.5,40,2001.327673
-7.0,40,2003.860881
-6.5,40,2006.349997
-6.5,40,2008.832236
-7.0,40,2011.337062
-6.5,40,2013.86516
-7.0,40,2016.401595
-7.0,40,2018.962976
-7.0,40,2021.396477
-7.0,40,2023.923629
-6.5,40,2061.827121
-7.0,40,2064.266412
-7.0,40,2066.529823
-7.0,40,2068.910357
-7.0,40,2071.414117
-7.0,40,2073.696759
-6.5,40,2076.083677
-7.0,40,2078.422218
-6.5,40,2080.785883
-6.0,40,2083.21502
-6.5,40,2085.744754
-6.5,40,2088.139139
-6.0,40,2090.594965
-7.0,40,2092.937207
-6.5,40,2095.372587
-6.5,40,2097.859457
-7.0,40,2100.303049
-6.5,40,2102.651395
-6.5,40,2105.008892
-6.5,40,2107.382031
-6.5,40,2109.640357
-7.0,40,2111.956913
-7.0,40,2114.421283
-7.0,40,2116.802362
-6.5,40,2119.144105
-7.0,40,2155.098487
-7.0,40,2157.485128
-6.5,40,2159.968846
-7.5,40,2162.588287
-6.5,40,2164.976996
-7.0,40,2167.568964
-7.0,40,2169.854928
-7.5,40,2172.129512
-6.0,40,2174.603684
-7.0,40,2176.958188
-6.5,40,2179.309528
-6.5,40,2181.831285
-6.5,40,2184.270924
-7.0,40,2186.633355
-7.0,40,2189.112814
-6.5,40,2191.432474
-7.0,40,2193.925347
-7.0,40,2196.407713
-7.0,40,2198.9475
-6.5,40,2201.221501
-7.0,40,2203.647587
-6.5,40,2206.15499
-7.0,40,2208.534463
-6.5,40,2210.927402
-7.0,40,2213.366767
-6.5,40,2249.461842
-7.0,40,2251.724414
-7.0,40,2254.096439
-7.0,40,2256.439479
-7.0,40,2258.820251
-6.0,40,2261.260318
-6.5,40,2263.660168
-7.5,40,2266.138253
-7.0,40,2268.495718
-7.0,40,2270.992959
-7.0,40,2273.366373
-7.0,40,2275.767962
-6.5,40,2278.212104
-6.5,40,2280.658069
-6.5,40,2282.92672
-7.0,40,2285.378648
-7.0,40,2287.738387
-7.0,40,2290.09192
-7.0,40,2292.601338
-6.5,40,2294.950096
-7.0,40,2297.373112
-7.0,40,2299.726108
-7.0,40,2302.117987
-6.5,40,2304.517402
-7.0,40,2306.756138
-6.5,40,2344.033594
-7.0,40,2346.272638
-7.0,40,2348.717224
-7.0,40,2351.105958
-7.0,40,2353.457428
-7.0,40,2355.843201
-7.0,40,2358.299941
-6.5,40,2360.865724
-6.5,40,2363.230249
-6.5,40,2365.606091
-7.0,40,2368.11011
-7.0,40,2370.385417
-6.0,40,2372.80481
-7.0,40,2375.274758
-7.0,40,2377.572744
-6.5,40,2379.956966
-6.5,40,2382.44576
-7.0,40,2384.83763
-7.0,40,2387.214899
-6.5,40,2389.426033
-7.0,40,2391.759638
-6.5,40,2394.230156
-7.0,40,2396.629399
-6.5,40,2398.932866
-6.5,40,2401.301744
-6.5,40,2433.072186
-6.5,40,2435.465134
-6.5,40,2437.862292
-6.5,40,2440.230055
-6.5,40,2442.478752
-7.0,40,2444.926014
-6.5,40,2447.18313
-7.0,40,2449.455671
-7.0,40,2452.014748
-6.5,40,2454.382598
-7.0,40,2456.802255
-6.5,40,2459.116687
-7.0,40,2461.52882
-7.0,40,2463.875086
-6.5,40,2466.311576
-7.0,40,2468.737126
-6.5,40,2471.191888
-6.5,40,2473.543911
-7.0,40,2475.965141
-7.0,40,2478.316579
-7.0,40,2480.622792
-7.0,40,2483.170703
-6.5,40,2485.639865
-7.0,40,2488.103811
-6.5,40,2490.636089
-7.0,40,2528.47937
-6.5,40,2530.716425
-6.5,40,2533.122198
-6.5,40,2535.441458
-6.5,40,2537.76371
-7.0,40,2540.170851
-6.5,40,2542.660877
-6.5,40,2544.927713
-6.5,40,2547.397472
-6.0,40,2549.792082
-7.0,40,2552.170454
-7.0,40,2554.451518
-7.0,40,2556.822685
-7.0,40,2559.181946
-7.0,40,2561.638535
-7.0,40,2563.854249
-6.0,40,2566.224593
-6.5,40,2568.603603
-7.0,40,2570.956468
-6.5,40,2573.336766
-7.0,40,2575.900624
-7.0,40,2578.335281
-6.5,40,2580.711558
-6.5,40,2583.093333
-7.0,40,2585.322726
-6.5,40,2622.169084
-7.0,40,2624.594991
-7.0,40,2626.987868
-7.0,40,2629.256028
-7.0,40,2631.576697
-6.5,40,2633.872058
-7.0,40,2636.330682
-7.0,40,2638.65419
-6.5,40,2641.099001
-7.0,40,2643.491709
-6.5,40,2645.826724
-6.5,40,2648.233717
-7.0,40,2650.722435
-6.5,40,2653.129738
-6.5,40,2655.452406
-7.0,40,2657.850984
-6.0,40,2660.336043
-6.5,40,2662.581867
-7.0,40,2665.021405
-6.0,40,2667.339638
-7.0,40,2669.804737
-7.0,40,2672.203005
-7.0,40,2674.563792
-7.0,40,2677.069293
-7.0,40,2679.529222
-6.5,40,2711.457319
-7.0,40,2713.761482
-7.0,40,2716.066445
-7.0,40,2718.480814
-7.0,40,2720.912817
-7.0,40,2723.426891
-7.0,40,2725.867451
-7.5,40,2728.35077
-7.0,40,2730.674765
-7.0,40,2733.065987
-6.5,40,2735.469133
-7.0,40,2738.006843
-6.5,40,2740.379612
-6.0,40,2742.912257
-6.5,40,2745.330476
-7.0,40,2747.792353
-6.5,40,2750.282207
-6.5,40,2752.622521
-7.0,40,2754.938408
-7.0,40,2757.384087
-7.0,40,2759.881052
-7.0,40,2762.296788
-6.5,40,2764.768307
-7.0,40,2767.30738
-6.5,40,2769.696264
-7.0,40,2806.263304
-7.0,40,2808.687947
-7.0,40,2811.072106
-6.5,40,2813.425549
-7.0,40,2815.742208
-6.5,40,2818.228933
-6.5,40,2820.800138
-7.0,40,2823.345402
-7.0,40,2825.630658
-7.0,40,2828.094026
-6.5,40,2830.372012
-6.5,40,2832.800312
-7.0,40,2835.121546
-7.0,40,2837.622058
-7.0,40,2839.895384
-6.5,40,2842.231043
-7.0,40,2844.473749
-6.5,40,2846.776398
-6.5,40,2849.148513
-6.5,40,2851.440331
-6.5,40,2853.796676
-6.5,40,2856.12815
-7.0,40,2858.521131
-6.5,40,2860.88693
-6.5,40,2863.268046
-7.0,40,2899.684929
-7.0,40,2901.987205
-6.5,40,2904.421758
-7.0,40,2906.881932
-7.0,40,2909.3822
-6.5,40,2911.74788
-6.5,40,2914.16909
-6.5,40,2916.555943
-6.5,40,2918.944636
-6.5,40,2921.448508
-7.0,40,2923.890322
-6.5,40,2926.311314
-7.0,40,2928.820353
-6.0,40,2931.291425
-6.5,40,2933.787114
-7.0,40,2936.120842
-7.0,40,2938.523088
-6.5,40,2940.845941
-6.5,40,2943.353523
-7.0,40,2945.736485
-7.0,40,2948.17789
-7.0,40,2950.519039
-7.5,40,2952.905148
-6.5,40,2955.144108
-7.0,40,2957.583938
-7.0,40,2996.940064
-7.0,40,2999.291169
-7.0,40,3001.532485
-7.0,40,3004.006916
-6.5,40,3006.379332
-7.0,40,3008.836548
-7.0,40,3011.232203
-6.5,40,3013.709586
-7.0,40,3016.185378
-7.0,40,3018.549474
-7.0,40,3020.883746
-6.5,40,3023.329406
-7.0,40,3025.613271
-6.5,40,3027.937452
-7.0,40,3030.413403
-7.0,40,3032.729456
-7.0,40,3035.188174
-7.0,40,3037.447258
-6.5,40,3039.992215
-6.5,40,3042.2488
-7.0,40,3044.494009
-7.0,40,3046.874909
-7.0,40,3049.146688
-6.5,40,3051.431618
-7.0,40,3053.899413
-6.5,40,3085.900502
-7.0,40,3088.25139
-6.5,40,3090.587942
-7.0,40,3092.924541
-7.0,40,3095.388229
-6.5,40,3097.810074
-6.5,40,3100.160027
-7.0,40,3102.444892
-7.0,40,3104.727772
-7.0,40,3107.129516
-7.0,40,3109.64132
-7.0,40,3111.964722
-6.5,40,3114.245042
-7.0,40,3116.63421
-6.5,40,3118.894305
-7.0,40,3121.23801
-7.0,40,3123.569571
-6.5,40,3125.95619
-7.0,40,3128.325769
-6.5,40,3130.62702
-7.0,40,3133.042946
-7.0,40,3135.360059
-7.0,40,3137.629788
-7.5,40,3139.84378
-7.0,40,3142.159052
-7.0,40,3177.389028
-7.0,40,3179.832204
-7.0,40,3182.226422
-6.5,40,3184.611663
-7.0,40,3186.983643
-7.0,40,3189.385415
-7.0,40,3191.734652
-7.0,40,3194.131528
-7.0,40,3196.479133
-6.5,40,3198.783746
-7.0,40,3201.156527
-7.0,40,3203.499904
-7.0,40,3205.941755
-6.5,40,3208.385307
-6.5,40,3210.867015
-7.0,40,3213.333434
-7.0,40,3215.816283
-6.5,40,3218.264004
-7.0,40,3220.56089
-7.0,40,3222.994441
-6.5,40,3225.448405
-6.5,40,3227.781439
-6.5,40,3230.21493
-7.0,40,3232.491109
-6.5,40,3234.993108
-6.5,40,3271.710786
-7.0,40,3274.132293
