#{"t_start": 1758331066.8749354, "env_id": null}
r,l,t
-5.0,40,5.97794
-5.0,40,7.01338
-5.0,40,8.035823
-5.0,40,9.066917
-4.5,40,10.093142
-5.0,40,11.024143
-5.0,40,11.912874
-5.0,40,12.747457
-5.0,40,13.643842
-4.5,40,14.404334
-5.0,40,15.226393
-5.0,40,16.049932
-5.0,40,16.873211
-5.0,40,17.68703
-4.5,40,18.596453
-4.5,40,19.541319
-5.0,40,20.529097
-4.0,40,21.509371
-5.0,40,22.531394
-5.0,40,23.565027
-5.5,40,24.660632
-4.5,40,25.624877
-5.0,40,26.359433
-4.0,40,27.304074
-4.5,40,28.266733
-5.0,40,35.16685
-5.0,40,36.053037
-5.0,40,37.008721
-5.0,40,38.059937
-5.0,40,39.030463
-4.5,40,39.999353
-5.0,40,40.84267
-4.5,40,41.676483
-4.0,40,42.520099
-4.0,40,43.341152
-5.0,40,44.171379
-4.5,40,45.007303
-5.0,40,45.840215
-5.5,40,46.646792
-4.5,40,47.387764
-5.0,40,48.203484
-5.0,40,49.127657
-4.5,40,49.932148
-5.0,40,51.080851
-5.0,40,52.050725
-5.0,40,53.094414
-4.5,40,54.031839
-5.0,40,55.020224
-4.5,40,56.020875
-4.5,40,56.923811
-5.0,40,63.758978
-4.5,40,64.668116
-5.0,40,65.750665
-4.0,40,66.798879
-4.5,40,67.545414
-4.5,40,68.520734
-4.0,40,69.448281
-4.5,40,70.448093
-5.0,40,71.393561
-5.0,40,72.348197
-4.5,40,73.149512
-5.0,40,73.967095
-4.0,40,74.80001
-5.0,40,75.725401
-5.0,40,76.584437
-4.5,40,77.491362
-5.0,40,78.437929
-5.0,40,79.370662
-4.5,40,80.22643
-4.5,40,81.199805
-5.0,40,82.068073
-4.0,40,83.003726
-5.0,40,83.955366
-5.0,40,85.057061
-5.0,40,86.205932
-4.5,40,93.190871
-4.5,40,93.939703
-5.0,40,94.568253
-4.5,40,95.465915
-4.5,40,96.419185
-5.0,40,97.296584
-4.5,40,98.209237
-5.0,40,99.116616
-5.0,40,100.051659
-4.5,40,100.965967
-5.0,40,101.846883
-4.5,40,102.885015
-4.5,40,103.730638
-4.5,40,104.539256
-5.0,40,105.375353
-4.5,40,106.203621
-4.5,40,107.008864
-5.0,40,107.837914
-5.0,40,108.749694
-5.0,40,109.607572
-5.0,40,110.552191
-5.0,40,111.399422
-5.0,40,112.336885
-4.5,40,113.204622
-5.0,40,114.109494
-5.5,40,120.482307
-5.0,40,121.290096
-5.0,40,122.18193
-5.0,40,123.047236
-5.0,40,123.950473
-5.0,40,124.786479
-5.0,40,125.675709
-5.0,40,126.583344
-5.0,40,127.549331
-4.5,40,128.398184
-5.0,40,129.322062
-5.0,40,130.331312
-5.0,40,131.367429
-5.5,40,132.318601
-5.0,40,133.244788
-4.5,40,134.136729
-5.0,40,134.902485
-4.5,40,135.619094
-4.0,40,136.464554
-5.0,40,137.309829
-5.0,40,138.127546
-4.5,40,138.936354
-4.5,40,139.756007
-4.5,40,140.816575
-5.0,40,141.626699
-5.0,40,148.258393
-5.0,40,149.098958
-5.0,40,150.003785
-5.0,40,150.847868
-4.0,40,151.674957
-4.5,40,152.563617
-4.5,40,153.441698
-4.5,40,154.342195
-4.5,40,155.265037
-5.0,40,156.169925
-4.5,40,157.051205
-5.0,40,157.989726
-5.0,40,158.985931
-5.0,40,159.868886
-4.5,40,160.795561
-4.5,40,161.844155
-4.5,40,162.898686
-5.0,40,163.815298
-4.5,40,164.83488
-4.5,40,165.653896
-4.5,40,166.49451
-5.0,40,167.378254
-5.0,40,168.248587
-5.0,40,169.154753
-5.0,40,170.145681
-7.0,40,177.149068
-5.0,40,177.843307
-0.5,40,178.850863
-5.0,40,179.834962
-5.0,40,180.726254
-4.0,40,181.686986
-4.5,40,182.683098
-4.5,40,183.598732
-4.5,40,184.519298
-5.0,40,185.231857
-5.0,40,186.059009
-5.0,40,186.931505
-4.5,40,188.078312
-5.0,40,189.272008
-5.0,40,190.269225
-4.5,40,191.125907
-4.5,40,192.031124
-5.0,40,193.063923
-5.0,40,193.90876
-5.0,40,194.752717
-5.0,40,195.60792
-4.5,40,196.444971
-4.5,40,197.213431
-5.0,40,197.910365
-4.5,40,198.658117
-4.5,40,206.715331
-5.0,40,207.636985
-5.0,40,208.580628
-5.0,40,209.43435
-5.0,40,210.273628
-4.5,40,211.122493
-5.0,40,211.889984
-5.0,40,212.835558
-5.0,40,213.777099
-4.5,40,214.659628
-5.0,40,215.59571
-4.5,40,216.538908
-4.5,40,217.621875
-4.5,40,218.453231
-5.5,40,219.381071
-5.0,40,220.435313
-4.5,40,221.586942
-5.5,40,222.580992
-5.0,40,223.610196
-5.0,40,224.547216
-5.0,40,225.310401
-5.0,40,226.227189
-5.0,40,227.05
-5.0,40,227.900925
-4.5,40,228.689525
-5.0,40,235.825907
-4.5,40,236.788507
-5.5,40,237.610546
-4.0,40,238.435214
-4.5,40,239.30504
-5.0,40,240.222347
-5.0,40,241.153406
-4.5,40,242.148453
-4.0,40,243.015048
-4.5,40,244.000288
-4.5,40,245.042217
-4.5,40,245.887828
-5.0,40,247.041588
-4.0,40,247.97699
-5.0,40,248.976408
-5.0,40,250.073793
-5.0,40,251.013394
-5.0,40,251.877604
-4.5,40,252.696645
-5.0,40,253.558507
-4.0,40,254.477725
-4.5,40,255.432566
-4.5,40,256.349741
-5.0,40,257.251623
-4.5,40,258.117055
-5.0,40,265.811607
-5.0,40,266.692338
-5.0,40,267.584002
-4.5,40,268.470902
-4.0,40,269.356462
-4.0,40,270.232448
-4.5,40,271.134718
-5.0,40,272.066388
-4.5,40,272.832131
-2.5,40,273.756428
-4.5,40,274.840455
-5.0,40,275.932642
-5.0,40,276.776615
-5.0,40,277.687425
-4.5,40,278.732787
-5.0,40,279.517155
-5.0,40,280.515752
-5.5,40,281.428494
-4.5,40,282.391805
-5.0,40,283.291199
-5.0,40,284.18677
-4.5,40,285.018176
-5.0,40,285.914422
-4.5,40,286.718074
-5.0,40,287.764472
-5.0,40,293.122194
-4.5,40,294.124424
-5.0,40,295.032423
-5.0,40,296.112466
-4.5,40,296.968655
-4.5,40,297.806687
-5.0,40,298.585802
-5.0,40,299.520502
-5.0,40,300.413337
-4.5,40,301.459983
-4.5,40,302.430434
-5.0,40,303.467457
-5.0,40,304.487972
-4.5,40,305.528274
-4.0,40,306.543664
-5.0,40,307.46085
-5.0,40,308.446234
-4.5,40,309.325105
-4.5,40,310.266139
-5.0,40,311.172542
-5.0,40,312.193967
-4.5,40,313.13313
-3.5,40,313.91275
-5.0,40,314.810676
-5.0,40,315.768885
-5.0,40,322.731337
-5.0,40,323.697633
-4.5,40,324.619735
-4.5,40,325.493015
-5.0,40,326.408085
-4.5,40,327.324106
-4.5,40,328.17284
-5.0,40,329.152924
-5.0,40,330.027077
-4.5,40,330.975077
-5.0,40,331.793115
-4.5,40,332.583586
-5.0,40,333.642612
-4.0,40,334.469361
-4.5,40,335.528944
-4.5,40,336.580899
-5.0,40,337.559211
-5.0,40,338.592837
-5.0,40,339.594846
-5.0,40,340.563176
-5.5,40,341.509582
-5.0,40,342.447538
-5.0,40,343.374536
-5.0,40,344.277026
-4.0,40,345.123578
-5.0,40,352.133855
-4.5,40,353.016412
-5.0,40,353.836009
-5.0,40,354.694178
-4.5,40,355.509338
-4.5,40,356.348967
-5.0,40,357.201636
-5.0,40,358.099131
-5.0,40,359.036474
-4.5,40,359.910289
-4.5,40,360.788056
-5.0,40,361.667252
-4.5,40,362.600567
-4.5,40,363.569214
-4.0,40,364.544037
-5.0,40,365.617871
-5.0,40,366.621735
-5.0,40,367.601573
-5.0,40,368.627284
-4.5,40,369.436611
-4.5,40,370.323814
-4.0,40,371.281888
-4.5,40,372.13079
-4.5,40,373.080633
-5.0,40,373.992145
-4.5,40,380.653085
-5.0,40,381.566609
-4.5,40,382.397077
-4.0,40,383.230532
-4.5,40,384.145423
-4.5,40,385.123289
-4.5,40,385.978494
-4.0,40,386.870566
-5.0,40,387.784166
-4.5,40,388.618941
-4.0,40,389.44765
-5.0,40,390.398647
-5.0,40,391.341513
-5.0,40,392.336601
-4.5,40,393.218739
-4.5,40,394.274986
-5.0,40,395.242992
-5.0,40,396.060982
-4.5,40,396.950496
-5.0,40,397.8538
-5.0,40,398.810778
-4.5,40,399.802937
-5.0,40,400.747865
-5.0,40,401.68571
-4.5,40,402.620245
-5.0,40,409.158423
-5.0,40,409.804821
-5.5,40,410.606306
-5.0,40,411.598383
-5.0,40,412.526754
-5.0,40,413.495722
-5.0,40,414.464064
-5.0,40,415.413768
-4.5,40,416.289802
-5.0,40,416.984029
-4.5,40,417.92222
-4.5,40,418.727902
-5.0,40,419.621501
-4.5,40,420.477475
-4.5,40,421.328041
-5.0,40,422.137958
-5.5,40,422.984144
-4.5,40,423.629958
-4.0,40,424.484197
-5.0,40,425.455761
-5.0,40,426.395934
-5.0,40,427.259761
-4.5,40,428.182037
-5.0,40,429.195739
-4.5,40,430.208535
-5.0,40,436.857396
-5.0,40,437.662333
-5.0,40,438.663105
-5.5,40,439.606644
-5.0,40,440.650286
-5.0,40,441.555432
-5.0,40,442.471066
-5.0,40,443.556216
-5.0,40,444.497627
-5.0,40,445.492938
-5.0,40,446.507099
-5.0,40,447.49488
-4.5,40,448.435008
-5.0,40,449.221502
-4.5,40,450.040921
-4.5,40,450.884555
-4.0,40,451.748252
-4.5,40,452.760368
-5.5,40,453.70752
-5.0,40,454.631411
-4.0,40,455.482637
-5.0,40,456.461115
-4.5,40,457.536529
-4.5,40,458.211135
